major1,major2,minor1,minor2,IPEDS.Race.Ethnicity,Gender,GPA.Range,Term.Code,survey_city,survey_company,survey_deptfunc,survey_offers,survey_plans,survey_pref_field,survey_pref_loc,survey_salary,survey_state
Finance,none,Business Legal Studies,No Minor,White,Male,3.00 - 3.49,201920,Toledo,BAM Nutual,Finance,0,accepted fulltime job,Yes,Yes,58120.19679571174,OH
Marketing,none,Humanities,Humanities,Asian,Female,3.50 - 4.00,202120,Columbus,CoHatch,General Management,1,accepted fulltime job,Yes,Yes,40000.0,OH
Marketing,none,Supply Chain Management,Supply Chain Management,White,Male,3.00 - 3.49,201920,Columbus,Abercrombie & Fitch,General Management,1,accepted fulltime job,Yes,Yes,63500.0,OH
Marketing,none,Humanities,Humanities,White,Female,3.00 - 3.49,202020,Cleveland,McDonald's,Consulting Marketing / Sales Operations / Procurement,4,accepted fulltime job,Yes,Yes,68000.0,OH
Finance,none,Economics,No Minor,White,Female,3.50 - 4.00,201920,Chicago,Ernst & Young,"Analytics
 Consulting",1,accepted fulltime job,Yes,Yes,58000.0,OH
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Cleveland,EY,Accounting,1,accepted fulltime job,Yes,Yes,53000.0,OH
Finance,none,Accountancy,Accountancy,White,Female,3.50 - 4.00,201920,New York City,JP Morgan,Unknown,None,accepted fulltime job,Yes,Yes,85000.0,NY
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Augusta,Textron Specialized Vehicles,Operations / Procurement,1,accepted fulltime job,Yes,Yes,58000.0,GA
Accountancy,none,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Chicago,EY,Accounting,1,accepted fulltime job,Yes,Yes,62000.0,IL
Accountancy,none,No Minor,No Minor,Unknown,Female,3.50 - 4.00,202120,Chicago,KPMG,Unknown,1,accepted fulltime job,None,None,58120.19679571174,IL
Marketing,none,No Minor,No Minor,White,Female,2.50 - 2.99,202030,Unknown,Duff & Phelps,Unknown,None,accepted fulltime job,None,None,58120.19679571174,NY
Finance,none,Interactive Media Studies,Interactive Media Studies,Black or African American,Male,3.00 - 3.49,201920,Witchita,Textron,Accounting,1,accepted fulltime job,Yes,Yes,63000.0,KS
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,new york,Unknown,Consulting,0,accepted fulltime job,Yes,Yes,58120.19679571174,NY
Accountancy,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Chicago,Deloitte,Unknown,None,accepted fulltime job,None,None,62000.0,IL
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,202020,Minneapolis,E. & J. Gallo Winery,Marketing / Sales,2,accepted fulltime job,Yes,Yes,50000.0,MN
Marketing,none,No Minor,No Minor,White,Male,2.00 - 2.49,201920,Oxford,Asset Campus Housing,Marketing / Sales,2,accepted fulltime job,Yes,Yes,29000.0,OH
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Chicago,Uber,Unknown,None,accepted fulltime job,None,None,53000.0,IL
Management and Leadership,none,Humanities,No Minor,White,Female,3.00 - 3.49,202020,Lincolnshire,Alight Solutions,Human Resources,1,accepted fulltime job,No,Yes,53000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Charlotte,Vanguard,Finance,1,accepted fulltime job,Yes,Yes,56000.0,NC
